16:32:13.474 [AWT-EventQueue-0] INFO  c.b.t.m.c.SelectCellOpenerImpl - opening cell with cords 8:5
16:32:13.474 [AWT-EventQueue-0] INFO  c.b.t.m.c.SelectCellOpenerImpl - opening cell with cords 8:6
16:32:13.474 [AWT-EventQueue-0] INFO  c.b.t.m.c.SelectCellOpenerImpl - opening cell with cords 8:7
16:32:13.474 [AWT-EventQueue-0] INFO  c.b.task3.view.SwingMinesweeperView - View is filling cells with new image codes
16:32:13.474 [AWT-EventQueue-0] INFO  c.b.t.m.c.SelectCellOpenerImpl - opening cell with cords 9:5
16:32:13.474 [AWT-EventQueue-0] INFO  c.b.task3.view.SwingMinesweeperView - View is filling cells with new image codes
16:32:13.474 [AWT-EventQueue-0] INFO  c.b.t.m.c.SelectCellOpenerImpl - opening cell with cords 9:6
16:32:13.474 [AWT-EventQueue-0] INFO  c.b.task3.view.SwingMinesweeperView - View is filling cells with new image codes
16:32:13.474 [AWT-EventQueue-0] INFO  c.b.t.m.c.SelectCellOpenerImpl - opening cell with cords 9:7
16:32:13.474 [AWT-EventQueue-0] INFO  c.b.task3.view.SwingMinesweeperView - View is filling cells with new image codes
16:32:14.146 [AWT-EventQueue-0] INFO  c.b.task3.view.SwingMinesweeperView - Processing pushing mouse button with code: 2
16:32:14.146 [AWT-EventQueue-0] INFO  c.b.t.m.c.CellsAroundSelectCellOpenerImpl - opening cells around cell with cords 8:7
16:32:14.146 [AWT-EventQueue-0] INFO  c.b.t.m.c.SelectCellOpenerImpl - opening cell with cords 7:7
16:32:14.146 [AWT-EventQueue-0] INFO  c.b.t.m.c.SelectCellOpenerImpl - opening cell with cords 7:8
16:32:14.146 [AWT-EventQueue-0] INFO  c.b.task3.view.SwingMinesweeperView - View is filling cells with new image codes
16:32:14.146 [AWT-EventQueue-0] INFO  c.b.t.m.c.SelectCellOpenerImpl - opening cell with cords 8:6
16:32:14.146 [AWT-EventQueue-0] INFO  c.b.t.m.c.SelectCellOpenerImpl - opening cell with cords 8:7
16:32:14.146 [AWT-EventQueue-0] INFO  c.b.t.m.c.SelectCellOpenerImpl - opening cell with cords 8:8
16:32:14.146 [AWT-EventQueue-0] INFO  c.b.task3.view.SwingMinesweeperView - View is filling cells with new image codes
16:32:14.146 [AWT-EventQueue-0] INFO  c.b.t.m.c.SelectCellOpenerImpl - opening cell with cords 9:6
16:32:14.146 [AWT-EventQueue-0] INFO  c.b.t.m.c.SelectCellOpenerImpl - opening cell with cords 9:7
16:32:14.146 [AWT-EventQueue-0] INFO  c.b.t.m.c.SelectCellOpenerImpl - opening cell with cords 9:8
16:32:14.146 [AWT-EventQueue-0] INFO  c.b.task3.view.SwingMinesweeperView - View is filling cells with new image codes
16:32:15.258 [AWT-EventQueue-0] INFO  c.b.task3.view.SwingMinesweeperView - Processing pushing mouse button with code: 3
16:32:15.258 [AWT-EventQueue-0] INFO  c.b.t.m.c.FlagStatusChanger - Changing FLAG STATUS for cell with cords 7:9
